No,Score,Label,Xmin,Ymin,Xmax,Ymax,Correct
0,0.10553406178951263,Side-B,118.81391143798828,291.15374755859375,149.48825073242188,313.902099609375,False
0,0.13257385790348053,B-throw,71.15460205078125,288.10089111328125,140.3641357421875,335.391845703125,False
1,0.15953676402568817,B-throw,69.81348419189453,287.6314392089844,140.95578002929688,336.6541442871094,False
2,0.1812448799610138,B-throw,69.7060317993164,287.1380615234375,140.86810302734375,337.7181396484375,False
3,0.16317933797836304,B-throw,69.48004150390625,287.0369567871094,140.90931701660156,337.4053039550781,False
4,0.11556970328092575,Side-B,119.09861755371094,294.21466064453125,148.07887268066406,316.55755615234375,False
6,0.11763638257980347,Side-B,117.75575256347656,293.5225524902344,149.92445373535156,316.5297546386719,False
7,0.12501108646392822,Side-B,117.9073486328125,293.545654296875,149.69381713867188,316.486083984375,False
10,0.4479292929172516,Notwaza,102.39371490478516,167.929931640625,134.9857940673828,225.4637451171875,False
11,0.46886146068573,Notwaza,102.7190170288086,167.54286193847656,134.63473510742188,225.3534698486328,False
11,0.12004010379314423,Down-B,457.4773864746094,184.9829559326172,519.1249389648438,220.05039978027344,False
12,0.14165328443050385,Down-B,459.0761413574219,182.05410766601562,518.9625244140625,221.92218017578125,False
12,0.4998866617679596,Notwaza,100.58863067626953,169.4428253173828,135.89010620117188,229.4617462158203,False
12,0.14923904836177826,Grab-blow,100.58863067626953,169.4428253173828,135.89010620117188,229.4617462158203,False
12,0.1265353113412857,F-smash,100.58863067626953,169.4428253173828,135.89010620117188,229.4617462158203,False
13,0.1520349383354187,Grab-blow,100.42315673828125,169.33615112304688,136.18064880371094,229.699951171875,False
13,0.13515494763851166,Down-B,458.3531799316406,182.36648559570312,519.5280151367188,221.62554931640625,False
13,0.13044048845767975,F-smash,100.42315673828125,169.33615112304688,136.18064880371094,229.699951171875,False
13,0.5016403198242188,Notwaza,100.42315673828125,169.33615112304688,136.18064880371094,229.699951171875,False
14,0.1951788067817688,Grab-blow,88.97102355957031,172.65696716308594,192.1339874267578,246.43299865722656,False
14,0.1015523225069046,F-throw,88.97102355957031,172.65696716308594,192.1339874267578,246.43299865722656,False
15,0.10561773926019669,Down-B,463.1050109863281,180.0069580078125,517.2672119140625,222.02023315429688,False
15,0.11673329770565033,F-throw,89.90493774414062,172.0563201904297,190.06649780273438,246.1936798095703,False
15,0.1888149380683899,Grab-blow,89.90493774414062,172.0563201904297,190.06649780273438,246.1936798095703,False
16,0.11354044824838638,F-throw,65.10669708251953,283.7305908203125,141.99432373046875,337.3480224609375,False
17,0.11691495031118393,F-throw,64.01254272460938,283.5252380371094,143.21142578125,337.6559143066406,False
17,0.11944559216499329,Grab-blow,33.543556213378906,184.50784301757812,110.34674835205078,227.74960327148438,False
18,0.1741095930337906,Grab,68.77107238769531,277.0522766113281,146.12998962402344,324.5420837402344,False
18,0.27452516555786133,Down-B,461.6488952636719,179.457275390625,513.3450927734375,222.63162231445312,False
18,0.16873706877231598,Grab-blow,15.438217163085938,129.14210510253906,137.2294158935547,229.2714080810547,False
18,0.34226834774017334,F-throw,130.8937225341797,166.29937744140625,224.83888244628906,249.27145385742188,False
19,0.26825082302093506,Grab,68.45706176757812,276.93341064453125,146.27969360351562,324.1795654296875,False
19,0.16608405113220215,Grab-blow,16.881919860839844,129.57638549804688,134.00619506835938,228.0172119140625,False
19,0.30796635150909424,F-throw,129.97206115722656,163.95237731933594,225.6080780029297,250.07481384277344,False
19,0.2846546471118927,Down-B,462.0207214355469,180.53274536132812,512.9740600585938,221.78268432617188,False
20,0.258248895406723,Grab-blow,5.507076263427734,115.24406433105469,107.52789306640625,233.79335021972656,False
20,0.16859035193920135,D-air,461.7721862792969,179.58978271484375,510.4121398925781,221.32318115234375,False
20,0.20966534316539764,Down-B,461.7721862792969,179.58978271484375,510.4121398925781,221.32318115234375,False
