No,Score,Label,Xmin,Ymin,Xmax,Ymax,Correct
30,0.8055605888366699,Notwaza,6.5234222412109375,145.04373168945312,104.36495208740234,219.70181274414062,False
31,0.800789475440979,Notwaza,6.018798828125,144.73873901367188,105.28121948242188,220.97418212890625,False
34,0.6753869652748108,F-air,18.238296508789062,172.1471710205078,90.72988891601562,222.7924346923828,False
35,0.6785168051719666,F-air,18.146522521972656,172.1544952392578,91.75191497802734,222.4236297607422,False
40,0.9438440203666687,Notwaza,52.31987762451172,142.03005981445312,113.58606719970703,226.71475219726562,False
41,0.9498053789138794,Notwaza,52.932525634765625,140.4801483154297,112.97344970703125,228.02183532714844,False
42,0.8764190673828125,Notwaza,59.1661262512207,163.95472717285156,115.17097473144531,221.94639587402344,False
43,0.8499813079833984,Notwaza,59.2580680847168,163.66323852539062,115.57052612304688,222.23580932617188,False
44,0.938919186592102,Notwaza,59.08009719848633,164.8121337890625,125.16595458984375,221.9356689453125,False
45,0.9574282169342041,Notwaza,59.46942901611328,165.204833984375,124.8880386352539,221.58554077148438,False
46,0.9245423674583435,Notwaza,61.13178253173828,163.6160888671875,124.04602813720703,223.3194580078125,False
47,0.9410564303398132,Notwaza,61.47568893432617,163.98922729492188,123.91009521484375,223.33828735351562,False
50,0.6116522550582886,Notwaza,62.99577713012695,142.4851837158203,133.55233764648438,221.8574676513672,False
51,0.7023650407791138,Notwaza,62.866058349609375,141.49778747558594,133.40267944335938,222.8317413330078,False
52,0.7823237776756287,Notwaza,67.11482238769531,143.16848754882812,129.64791870117188,221.98748779296875,False
53,0.7883071899414062,Notwaza,66.87486267089844,142.84716796875,129.74588012695312,222.20858764648438,False
54,0.8311416506767273,Notwaza,67.40158081054688,138.4791259765625,128.91937255859375,226.19952392578125,False
55,0.7852915525436401,Notwaza,68.03951263427734,139.05958557128906,128.30093383789062,225.5714874267578,False
56,0.8696978092193604,Notwaza,68.3443374633789,138.45687866210938,129.2471923828125,226.98846435546875,False
57,0.8789985775947571,Notwaza,67.47943115234375,139.40985107421875,129.86807250976562,226.51953125,False
58,0.9502586126327515,Notwaza,67.87718200683594,141.8960723876953,128.89376831054688,224.76332092285156,False
59,0.9495047926902771,Notwaza,67.94225311279297,141.6932830810547,128.6666717529297,224.90135192871094,False
60,0.9537209272384644,Notwaza,69.39807891845703,137.63363647460938,127.7061538696289,224.58108520507812,False
61,0.941506564617157,Notwaza,69.65266418457031,137.74290466308594,128.16497802734375,223.9977264404297,False
62,0.8787282109260559,Notwaza,69.94485473632812,137.5128631591797,129.79991149902344,226.41209411621094,False
63,0.8999121785163879,Notwaza,68.61389923095703,137.45668029785156,130.54470825195312,226.0107879638672,False
64,0.8437552452087402,Notwaza,68.18327331542969,139.17372131347656,133.0668487548828,225.2551727294922,False
65,0.845634400844574,Notwaza,68.11135864257812,139.47335815429688,133.22154235839844,224.38861083984375,False
66,0.8260784149169922,Notwaza,69.78337097167969,136.2790985107422,131.85491943359375,224.75230407714844,False
67,0.8780083060264587,Notwaza,69.5749282836914,135.9833984375,132.0416259765625,224.98361206054688,False
68,0.7574828863143921,Notwaza,69.40573120117188,134.64080810546875,133.29348754882812,225.20773315429688,False
69,0.7468509078025818,Notwaza,69.82540893554688,135.78594970703125,132.86083984375,223.77001953125,False
70,0.7005349397659302,Notwaza,71.43685150146484,134.53662109375,131.28451538085938,225.02047729492188,False
71,0.719963014125824,Notwaza,71.3685073852539,136.1214599609375,131.33274841308594,223.82785034179688,False
72,0.8557713627815247,Notwaza,72.18968200683594,133.47811889648438,130.30612182617188,226.86273193359375,False
73,0.8114933967590332,Notwaza,71.34893035888672,134.7504119873047,131.5226593017578,226.20140075683594,False
74,0.9176176190376282,Notwaza,71.27545166015625,136.5982666015625,132.03781127929688,223.08328247070312,False
75,0.8831116557121277,Notwaza,71.38803100585938,136.8101806640625,132.3668212890625,222.80862426757812,False
80,0.7239492535591125,Notwaza,67.90015411376953,138.62281799316406,130.5872344970703,224.53038024902344,False
81,0.6951979994773865,Notwaza,67.40945434570312,138.0504608154297,131.93003845214844,224.34645080566406,False
82,0.8356771469116211,Notwaza,63.14263916015625,139.66128540039062,137.14089965820312,223.51971435546875,False
83,0.5811420679092407,Notwaza,64.82011413574219,136.12069702148438,136.84266662597656,226.35232543945312,False
84,0.6799216270446777,Notwaza,63.197105407714844,141.33189392089844,134.61624145507812,223.9407196044922,False
85,0.727664589881897,Notwaza,63.60087966918945,140.24095153808594,134.53961181640625,225.5232696533203,False
86,0.8595650792121887,Notwaza,64.12002563476562,139.46127319335938,134.63011169433594,224.61376953125,False
87,0.8354982733726501,Notwaza,64.50732421875,140.451416015625,134.421142578125,224.53726196289062,False
88,0.8884081840515137,Notwaza,62.678646087646484,137.82431030273438,135.1640625,226.88790893554688,False
89,0.9372344017028809,Notwaza,64.272705078125,140.34678649902344,133.67909240722656,225.2329559326172,False
90,0.8436474204063416,Notwaza,64.19554901123047,134.5559844970703,133.97781372070312,226.91773986816406,False
91,0.8413142561912537,Notwaza,64.6993408203125,135.72171020507812,133.8216094970703,226.16873168945312,False
94,0.6828569173812866,Notwaza,59.372318267822266,130.4755096435547,128.73182678222656,233.71534729003906,False
95,0.7211736440658569,Notwaza,60.09186935424805,130.9151611328125,127.7156982421875,233.47640991210938,False
96,0.7048564553260803,Notwaza,60.32353973388672,136.4384002685547,126.47850799560547,225.7640838623047,False
97,0.6476577520370483,Notwaza,60.039608001708984,138.58670043945312,126.49966430664062,224.59060668945312,False
106,0.7418619394302368,Notwaza,58.63377380371094,140.27552795410156,123.57997131347656,223.59693908691406,False
107,0.7034450769424438,Notwaza,59.120052337646484,140.1888427734375,123.73973083496094,224.13162231445312,False
110,0.9227942824363708,Notwaza,58.18027877807617,139.75035095214844,124.72900390625,230.2737579345703,False
111,0.9191079139709473,Notwaza,58.5333137512207,139.57566833496094,124.1429443359375,229.8631134033203,False
112,0.9510956406593323,Notwaza,58.818275451660156,141.26638793945312,124.01471710205078,228.8363037109375,False
113,0.9430027604103088,Notwaza,57.98347091674805,140.1781005859375,124.31787109375,229.6488037109375,False
114,0.8461233377456665,Notwaza,57.123714447021484,139.49594116210938,128.116943359375,229.70318603515625,False
115,0.7645220756530762,Notwaza,56.6103515625,140.41990661621094,129.062255859375,227.6128387451172,False
118,0.7516260147094727,D-air,61.97166061401367,167.7229461669922,120.58746337890625,226.8804473876953,False
119,0.5270962715148926,D-air,61.94963836669922,167.6769561767578,120.09937286376953,226.34693908691406,False
120,0.621917188167572,D-air,62.06451416015625,167.3671875,120.79705810546875,226.570068359375,False
121,0.5547119379043579,Notwaza,55.968807220458984,140.2298126220703,129.09323120117188,225.4832305908203,False
122,0.7586932182312012,Notwaza,56.0952262878418,141.47067260742188,127.49287414550781,225.72802734375,False
125,0.5412499308586121,N-air,66.56954956054688,144.63980102539062,132.8568878173828,209.98980712890625,False
127,0.5221552848815918,U-throw,66.74539184570312,131.40440368652344,130.4388885498047,197.75865173339844,False
127,0.9124471545219421,N-air,66.74539184570312,131.40440368652344,130.4388885498047,197.75865173339844,False
128,0.9017683267593384,N-air,66.26786804199219,131.4825439453125,131.27413940429688,198.27120971679688,False
128,0.5616307258605957,U-throw,66.26786804199219,131.4825439453125,131.27413940429688,198.27120971679688,False
146,0.5032972097396851,N-air,60.02599334716797,137.281982421875,125.53522491455078,197.99801635742188,False
153,0.5901466012001038,N-air,54.246952056884766,150.39047241210938,115.28446960449219,219.17343139648438,False
156,0.625272274017334,Side-B,51.974063873291016,162.76007080078125,118.92964172363281,225.64096069335938,False
170,0.670632541179657,F-tilt,59.14279556274414,180.98326110839844,119.29115295410156,236.9526824951172,False
171,0.6443538069725037,F-tilt,59.94712448120117,181.36572265625,118.8748779296875,236.56768798828125,False
178,0.572237491607666,D-air,53.03656005859375,172.18460083007812,122.15330505371094,229.118896484375,False
180,0.8243507742881775,D-air,55.87541961669922,169.39317321777344,121.2726821899414,228.4755096435547,False
181,0.7929695844650269,D-air,55.96421813964844,169.20237731933594,121.22561645507812,228.50205993652344,False
182,0.5359624624252319,Notwaza,47.84361267089844,138.50564575195312,123.467041015625,236.18316650390625,False
183,0.5300659537315369,Notwaza,48.272003173828125,137.390625,123.92167663574219,237.87124633789062,False
184,0.6122217774391174,Notwaza,54.069305419921875,138.3287353515625,124.08497619628906,232.91317749023438,False
185,0.6128055453300476,Notwaza,52.3980827331543,138.17233276367188,124.87086486816406,232.49307250976562,False
186,0.7717952728271484,Notwaza,56.8140869140625,133.51730346679688,125.43505859375,231.33810424804688,False
187,0.7691851258277893,Notwaza,56.52290344238281,134.38436889648438,124.88529968261719,230.24710083007812,False
188,0.8548418283462524,Notwaza,57.58216094970703,133.2882843017578,122.65860748291016,230.3716583251953,False
189,0.832615315914154,Notwaza,56.66361999511719,133.1243438720703,123.50190734863281,230.73609924316406,False
190,0.8993952870368958,Notwaza,55.47640609741211,134.31430053710938,125.1015625,231.704345703125,False
191,0.8815364241600037,Notwaza,56.31247329711914,134.44219970703125,124.61921691894531,230.91323852539062,False
192,0.5513206720352173,Notwaza,57.58692169189453,134.3727264404297,127.01500701904297,230.29835510253906,False
195,0.5079615712165833,Grab,450.1007080078125,152.61318969726562,551.2142944335938,249.83255004882812,False
198,0.5231101512908936,Notwaza,50.58430099487305,122.72946166992188,128.99588012695312,225.4158935546875,False
200,0.6892857551574707,Notwaza,56.88066482543945,132.28945922851562,122.50260925292969,227.92526245117188,False
200,0.6493908166885376,Grab,446.8834533691406,152.55349731445312,550.4216918945312,248.73544311523438,False
201,0.615456223487854,Grab,447.3631286621094,152.64683532714844,550.6366577148438,248.4180450439453,False
201,0.8168195486068726,Notwaza,56.3941535949707,131.16940307617188,122.01663208007812,228.76089477539062,False
202,0.7833247780799866,Notwaza,57.198482513427734,134.05401611328125,120.27946472167969,225.82513427734375,False
203,0.5254745483398438,Notwaza,57.517799377441406,134.8435821533203,122.0659408569336,225.52330017089844,False
204,0.8175321221351624,D-air,59.87287139892578,167.27796936035156,120.96575164794922,228.4579315185547,False
205,0.6853662729263306,Notwaza,60.58311462402344,165.09576416015625,119.76194763183594,229.18060302734375,False
206,0.5924566388130188,Grab,447.73114013671875,152.56460571289062,552.1583862304688,250.3726806640625,False
207,0.5511218905448914,Grab,448.31512451171875,154.1561737060547,553.69873046875,249.15965270996094,False
219,0.5114147663116455,U-air,55.148006439208984,117.42115783691406,115.68721008300781,193.95692443847656,False
220,0.9032646417617798,U-air,55.594024658203125,117.31233215332031,111.58705139160156,186.7187957763672,False
221,0.9155579805374146,U-air,56.158016204833984,117.27529907226562,111.4931640625,187.076171875,False
222,0.9392977356910706,U-air,54.29886245727539,113.51250457763672,113.25633239746094,187.75021362304688,False
223,0.9288146495819092,U-air,54.651206970214844,112.30493927001953,112.63874053955078,188.71737670898438,False
224,0.790238618850708,U-air,55.909461975097656,111.07662963867188,113.09449005126953,189.3729248046875,False
225,0.717945396900177,U-air,54.93909454345703,111.15508270263672,114.1477279663086,189.60800170898438,False
226,0.8340023159980774,U-air,58.068363189697266,113.88737487792969,118.05258178710938,186.8270721435547,False
227,0.8744056224822998,U-air,58.46521759033203,113.50948333740234,116.79619598388672,187.31396484375,False
228,0.5455939769744873,U-air,59.72722625732422,114.7815170288086,115.01107025146484,190.5899658203125,False
243,0.5360450744628906,Notwaza,75.6923828125,138.67611694335938,140.49368286132812,234.31222534179688,False
244,0.9157467484474182,Notwaza,78.40455627441406,155.052001953125,138.81521606445312,243.53646850585938,False
245,0.9525575637817383,Notwaza,79.3008041381836,153.9380645751953,138.22398376464844,244.3064422607422,False
247,0.5113182067871094,Notwaza,67.01284790039062,153.4925079345703,148.32427978515625,238.6182403564453,False
254,0.5666989088058472,Notwaza,67.27418518066406,169.1244354248047,172.04664611816406,234.62596130371094,False
255,0.6163341999053955,Notwaza,63.683929443359375,169.8151092529297,174.1927490234375,234.9627227783203,False
258,0.5925226807594299,F-tilt,72.35114288330078,186.43626403808594,131.27468872070312,233.2312469482422,False
259,0.5565311908721924,F-tilt,72.59573364257812,187.00050354003906,130.94076538085938,232.88804626464844,False
260,0.6279820799827576,F-tilt,70.37699890136719,184.99224853515625,132.20274353027344,233.50851440429688,False
261,0.6386876702308655,F-tilt,70.32774353027344,184.8629150390625,132.53070068359375,233.71212768554688,False
262,0.6559972763061523,F-tilt,68.41001892089844,184.63685607910156,131.40122985839844,233.73951721191406,False
263,0.5108378529548645,F-tilt,68.77650451660156,185.42103576660156,130.9234161376953,233.0336456298828,False
270,0.719155490398407,Notwaza,64.18850708007812,138.74574279785156,133.82211303710938,235.55528259277344,False
271,0.6545643210411072,Notwaza,64.61253356933594,136.30438232421875,133.5077667236328,236.05343627929688,False
272,0.9654430747032166,Notwaza,70.25460815429688,167.16677856445312,127.27114868164062,234.27874755859375,False
273,0.9737522006034851,Notwaza,70.31660461425781,167.037109375,127.72579956054688,234.67279052734375,False
274,0.8311922550201416,Notwaza,66.89865112304688,126.19458770751953,129.80276489257812,237.11654663085938,False
275,0.8150395154953003,Notwaza,66.1321029663086,125.95832824707031,130.55224609375,237.6182098388672,False
289,0.5443999171257019,D-air,-0.061767578125,129.0712432861328,80.25071716308594,182.6486358642578,False
293,0.5016210675239563,Grab,436.385986328125,156.9586639404297,547.8865966796875,253.01637268066406,False
310,0.8873356580734253,F-tilt,75.90335083007812,162.2362060546875,132.40066528320312,236.04556274414062,False
311,0.8149359226226807,F-tilt,76.6181640625,162.70272827148438,132.21124267578125,234.99996948242188,False
316,0.6238794922828674,Notwaza,53.47407150268555,182.42189025878906,163.792236328125,236.4928741455078,False
317,0.5381870269775391,Notwaza,52.163848876953125,182.15516662597656,164.64527893066406,236.8064422607422,False
326,0.8926282525062561,Notwaza,105.66303253173828,187.96446228027344,167.6016845703125,230.8330841064453,False
327,0.9232197999954224,Notwaza,106.29409790039062,188.5513916015625,167.37039184570312,230.67947387695312,False
328,0.7681612372398376,Notwaza,104.79908752441406,171.60867309570312,164.07005310058594,234.9698486328125,False
329,0.6407902836799622,Notwaza,104.14395141601562,167.95814514160156,165.66033935546875,235.8019561767578,False
330,0.9819411039352417,Notwaza,103.60552215576172,163.00900268554688,163.21444702148438,230.95635986328125,False
331,0.9742510318756104,Notwaza,103.82455444335938,162.6708984375,163.12039184570312,230.76776123046875,False
332,0.9767691493034363,Notwaza,98.75167083740234,142.44403076171875,165.447998046875,231.08682250976562,False
333,0.9614810347557068,Notwaza,97.58767700195312,142.43588256835938,165.93826293945312,232.15408325195312,False
334,0.9458847045898438,Notwaza,103.32191467285156,139.72238159179688,157.3673858642578,230.55136108398438,False
335,0.943145215511322,Notwaza,102.59896850585938,139.6328582763672,158.21148681640625,229.91600036621094,False
336,0.9903269410133362,Notwaza,89.3443603515625,135.9084930419922,158.0546875,234.5723419189453,False
337,0.9908652305603027,Notwaza,89.80497741699219,136.38778686523438,157.8121795654297,234.62689208984375,False
338,0.992936909198761,Notwaza,91.26249694824219,137.97930908203125,155.20143127441406,232.4654541015625,False
339,0.9947893619537354,Notwaza,89.6448974609375,136.33489990234375,155.776611328125,234.02313232421875,False
