No,Score,Label,Xmin,Ymin,Xmax,Ymax,Correct
0,0.9993319511413574,Notwaza,58.066856384277344,143.70655822753906,124.35478973388672,224.93629455566406,False
1,0.9980401992797852,Notwaza,57.61013412475586,145.87440490722656,125.40066528320312,223.00694274902344,False
2,0.9983891844749451,Notwaza,57.545772552490234,142.54156494140625,125.94566345214844,224.18255615234375,False
3,0.9984776973724365,Notwaza,57.49201583862305,142.65774536132812,126.13107299804688,223.83404541015625,False
4,0.998421847820282,Notwaza,57.42612075805664,142.6522216796875,126.2291259765625,223.8931884765625,False
5,0.9992867112159729,Notwaza,57.459625244140625,141.64462280273438,125.82354736328125,224.14761352539062,False
6,0.9992395043373108,Notwaza,57.12078857421875,141.5916748046875,125.92178344726562,224.22476196289062,False
7,0.9969982504844666,Notwaza,56.032432556152344,138.01109313964844,125.42903900146484,225.62355041503906,False
8,0.9965932965278625,Notwaza,55.715476989746094,138.16665649414062,125.64586639404297,225.5064697265625,False
9,0.9874565601348877,Notwaza,52.544952392578125,135.05035400390625,124.30946350097656,227.257568359375,False
10,0.027514532208442688,U-tilt,50.660247802734375,133.49822998046875,124.4598388671875,229.9847412109375,False
10,0.9661499857902527,Notwaza,50.660247802734375,133.49822998046875,124.4598388671875,229.9847412109375,False
11,0.032373737543821335,U-tilt,50.853759765625,132.73043823242188,123.73764038085938,230.71163940429688,False
11,0.9640610218048096,Notwaza,50.853759765625,132.73043823242188,123.73764038085938,230.71163940429688,False
12,0.9623124003410339,Notwaza,50.85361099243164,132.67605590820312,123.66810607910156,230.74444580078125,False
12,0.03572257608175278,U-tilt,50.85361099243164,132.67605590820312,123.66810607910156,230.74444580078125,False
13,0.9554843306541443,Notwaza,51.59368896484375,135.70831298828125,121.4429931640625,226.9124755859375,False
13,0.015996752306818962,U-tilt,51.59368896484375,135.70831298828125,121.4429931640625,226.9124755859375,False
14,0.9861629605293274,Notwaza,50.45009994506836,143.400634765625,124.51521301269531,221.6888427734375,False
15,0.985887348651886,Notwaza,50.507293701171875,143.11407470703125,124.57565307617188,221.8480224609375,False
16,0.9989440441131592,Notwaza,57.295143127441406,145.31398010253906,124.34659576416016,222.8813934326172,False
17,0.9989972710609436,Notwaza,57.32709503173828,145.10137939453125,124.3564682006836,222.95370483398438,False
18,0.99894118309021,Notwaza,57.22578430175781,145.2166290283203,124.60726928710938,222.99696350097656,False
19,0.9995056390762329,Notwaza,60.366607666015625,144.5991668701172,123.14968872070312,223.9657745361328,False
20,0.9997650980949402,Notwaza,60.12836456298828,146.41558837890625,123.32437896728516,224.45626831054688,False
21,0.9997680187225342,Notwaza,60.17352294921875,146.24118041992188,123.43133544921875,224.3111572265625,False
