No,Score,Label,Xmin,Ymin,Xmax,Ymax,Correct
1260,0.5010048747062683,Notwaza,85.11640167236328,150.5069122314453,120.2626724243164,219.9532928466797,False
1261,0.574105441570282,Notwaza,85.128173828125,150.36471557617188,120.11724853515625,220.13626098632812,False
1286,0.7140645980834961,D-throw,93.24858093261719,1.0111045837402344,142.29798889160156,114.58297729492188,False
1287,0.5729507207870483,D-throw,100.74267578125,21.296607971191406,137.68414306640625,89.0818099975586,False
1287,0.709250271320343,D-throw,93.25770568847656,0.706634521484375,142.263671875,115.02609252929688,False
1288,0.5298489928245544,D-throw,135.012451171875,9.922035217285156,171.40673828125,65.80571746826172,False
1289,0.5549101233482361,D-throw,134.75570678710938,10.309040069580078,171.52676391601562,65.84063720703125,False
1290,0.9192984104156494,D-throw,153.20709228515625,23.74555206298828,210.248291015625,62.647621154785156,False
1291,0.9205759763717651,D-throw,153.3014678955078,23.947200775146484,210.29112243652344,62.25740432739258,False
1300,0.5905176997184753,Down-B,169.53021240234375,27.995525360107422,203.41705322265625,88.11097717285156,False
1301,0.555665910243988,Down-B,169.40692138671875,28.200698852539062,203.51004028320312,87.97256469726562,False
1370,0.6523287296295166,Notwaza,106.70027160644531,130.09170532226562,167.8988800048828,238.41641235351562,False
1371,0.6158154606819153,Notwaza,106.90090942382812,129.78964233398438,168.214111328125,238.48580932617188,False
1372,0.5093764662742615,Down-B,197.36871337890625,286.5215148925781,284.52777099609375,326.3890686035156,False
1380,0.5254172086715698,Down-B,195.15631103515625,284.3990783691406,286.31683349609375,327.5592346191406,False
1381,0.5328720808029175,Down-B,195.71705627441406,284.0986022949219,285.9536437988281,328.2962341308594,False
1382,0.5906215310096741,Grab-blow,59.622928619384766,134.14859008789062,166.62232971191406,225.3189697265625,False
1383,0.6408874988555908,Grab-blow,61.29444885253906,133.7074737548828,165.0519256591797,224.39906311035156,False
1390,0.6706376075744629,Grab-blow,26.52033233642578,118.60877227783203,180.57110595703125,218.85504150390625,False
1391,0.6632750630378723,Grab-blow,28.535682678222656,120.37617492675781,178.13858032226562,217.0126190185547,False
1394,0.6734283566474915,Down-B,195.49095153808594,287.90765380859375,286.5307312011719,328.2669677734375,False
1395,0.6381025314331055,Down-B,195.55508422851562,288.14837646484375,286.45367431640625,328.1795654296875,False
1396,0.5303448438644409,Down-B,195.44419860839844,289.757568359375,286.4222412109375,325.72857666015625,False
